Michigan, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
196702,1.51,0.01
196703,1.21,-0.83
196704,4.17,1.57
196705,2.04,-1.05
196706,5.45,2.17
196707,2.14,-0.90
196708,3.08,-0.04
196709,2.14,-1.24
196710,4.13,1.43
196711,2.51,-0.06
196712,2.80,0.79
196801,1.47,-0.34
196802,1.87,0.37
196803,1.10,-0.94
196804,2.56,-0.04
196805,3.59,0.50
196806,5.37,2.09
196807,3.01,-0.03
196808,2.90,-0.22
196809,4.28,0.90
196810,2.67,-0.03
196811,2.67,0.10
196812,3.32,1.31
196901,2.62,0.81
196902,0.40,-1.10
196903,1.19,-0.85
196904,3.34,0.74
196905,3.13,0.04
196906,5.48,2.20
196907,3.65,0.61
196908,1.12,-2.00
196909,1.85,-1.53
196910,4.63,1.93
196911,2.27,-0.30
196912,1.15,-0.86
197001,1.40,-0.41
197002,0.67,-0.83
197003,1.91,-0.13
197004,2.34,-0.26
197005,3.80,0.71
197006,2.70,-0.58
197007,4.57,1.53
197008,1.54,-1.58
197009,5.44,2.06
197010,3.28,0.58
197011,2.90,0.33
197012,2.13,0.12
197101,1.87,0.06
197102,2.73,1.23
197103,2.07,0.03
197104,1.26,-1.34
197105,2.40,-0.69
197106,2.52,-0.76
197107,3.09,0.05
197108,2.44,-0.68
197109,3.04,-0.34
197110,2.11,-0.59
197111,2.20,-0.37
197112,4.07,2.06
197201,1.46,-0.35
197202,1.21,-0.29
197203,2.66,0.62
197204,2.44,-0.16
197205,2.46,-0.63
197206,2.74,-0.54
197207,3.52,0.48
197208,5.32,2.20
197209,3.91,0.53
197210,2.66,-0.04
197211,2.23,-0.34
197212,3.76,1.75
197301,1.41,-0.40
197302,1.21,-0.29
197303,2.69,0.65
197304,2.53,-0.07
197305,4.74,1.65
197306,3.75,0.47
197307,3.29,0.25
197308,2.98,-0.14
197309,2.56,-0.82
197310,2.67,-0.03
197311,2.70,0.13
197312,2.65,0.64
197401,2.50,0.69
197402,1.70,0.20
197403,2.39,0.35
197404,3.09,0.49
197405,3.75,0.66
197406,3.87,0.59
197407,2.52,-0.52
197408,3.58,0.46
197409,2.89,-0.49
197410,1.92,-0.78
197411,2.61,0.04
197412,1.69,-0.32
197501,2.86,1.05
197502,1.80,0.30
197503,2.17,0.13
197504,2.80,0.20
197505,3.17,0.08
197506,4.25,0.97
197507,2.85,-0.19
197508,6.35,3.23
197509,3.25,-0.13
197510,1.23,-1.47
197511,3.38,0.81
197512,2.53,0.52
197601,2.01,0.20
197602,2.26,0.76
197603,4.64,2.60
197604,2.56,-0.04
197605,3.51,0.42
197606,2.86,-0.42
197607,2.29,-0.75
197608,1.37,-1.75
197609,1.83,-1.55
197610,2.00,-0.70
197611,1.35,-1.22
197612,1.24,-0.77
197701,1.24,-0.57
197702,1.42,-0.08
197703,3.50,1.46
197704,2.74,0.14
197705,1.17,-1.92
197706,2.96,-0.32
197707,3.35,0.31
197708,4.55,1.43
197709,4.80,1.42
197710,2.27,-0.43
197711,3.03,0.46
197712,2.88,0.87
197801,2.51,0.70
197802,0.62,-0.88
197803,1.14,-0.90
197804,2.02,-0.58
197805,3.16,0.07
197806,3.08,-0.20
197807,2.81,-0.23
197808,3.79,0.67
197809,5.10,1.72
197810,2.24,-0.46
197811,2.15,-0.42
197812,2.34,0.33
197901,2.43,0.62
197902,1.08,-0.42
197903,3.09,1.05
197904,3.04,0.44
197905,2.49,-0.60
197906,4.11,0.83
197907,2.84,-0.20
197908,3.67,0.55
197909,0.93,-2.45
197910,3.57,0.87
197911,3.25,0.68
197912,1.92,-0.09
198001,1.74,-0.07
198002,0.90,-0.60
198003,1.45,-0.59
198004,3.26,0.66
198005,2.20,-0.89
198006,3.75,0.47
198007,3.66,0.62
198008,3.92,0.80
198009,4.78,1.40
198010,2.23,-0.47
198011,1.28,-1.29
198012,2.42,0.41
198101,0.83,-0.98
198102,2.22,0.72
198103,0.86,-1.18
198104,4.22,1.62
198105,2.78,-0.31
198106,4.24,0.96
198107,2.31,-0.73
198108,3.47,0.35
198109,4.07,0.69
198110,3.96,1.26
198111,1.54,-1.03
198112,1.62,-0.39
198201,2.77,0.96
198202,0.76,-0.74
198203,2.41,0.37
198204,2.23,-0.37
198205,2.62,-0.47
198206,3.16,-0.12
198207,4.30,1.26
198208,2.82,-0.30
198209,3.55,0.17
198210,2.27,-0.43
198211,3.97,1.40
198212,3.61,1.60
198301,1.27,-0.54
198302,0.96,-0.54
198303,2.62,0.58
198304,3.05,0.45
198305,5.24,2.15
198306,2.33,-0.95
198307,2.56,-0.48
198308,3.08,-0.04
198309,4.49,1.11
198310,3.56,0.86
198311,3.12,0.55
198312,2.59,0.58
198401,0.98,-0.83
198402,1.11,-0.39
198403,2.39,0.35
198404,2.49,-0.11
198405,3.31,0.22
198406,3.00,-0.28
198407,2.29,-0.75
198408,3.30,0.18
198409,4.37,0.99
198410,3.09,0.39
198411,2.49,-0.08
198412,3.14,1.13
198501,2.13,0.32
198502,2.66,1.16
198503,3.12,1.08
198504,3.13,0.53
198505,2.97,-0.12
198506,2.13,-1.15
198507,3.12,0.08
198508,4.86,1.74
198509,4.67,1.29
198510,3.42,0.72
198511,4.83,2.26
198512,2.18,0.17
198601,1.17,-0.64
198602,1.86,0.36
198603,2.07,0.03
198604,2.08,-0.52
198605,2.26,-0.83
198606,4.27,0.99
198607,3.80,0.76
198608,3.09,-0.03
198609,8.72,5.34
198610,3.08,0.38
198611,1.18,-1.39
198612,1.22,-0.79
198701,1.24,-0.57
198702,0.42,-1.08
198703,1.23,-0.81
198704,1.75,-0.85
198705,2.32,-0.77
198706,2.70,-0.58
198707,2.79,-0.25
198708,5.78,2.66
198709,3.61,0.23
198710,2.90,0.20
198711,2.71,0.14
198712,2.99,0.98
198801,1.70,-0.11
198802,1.27,-0.23
198803,1.91,-0.13
198804,2.48,-0.12
198805,1.10,-1.99
198806,0.98,-2.30
198807,2.96,-0.08
198808,4.55,1.43
198809,3.98,0.60
198810,4.47,1.77
198811,5.06,2.49
198812,1.89,-0.12
198901,1.41,-0.40
198902,0.88,-0.62
198903,2.18,0.14
198904,1.60,-1.00
198905,3.86,0.77
198906,4.06,0.78
198907,1.67,-1.37
198908,3.46,0.34
198909,2.25,-1.13
198910,1.99,-0.71
198911,2.88,0.31
198912,1.33,-0.68
199001,2.04,0.23
199002,2.02,0.52
199003,1.95,-0.09
199004,2.01,-0.59
199005,3.95,0.86
199006,4.28,1.00
199007,2.67,-0.37
199008,3.13,0.01
199009,3.87,0.49
199010,4.51,1.81
199011,3.43,0.86
199012,2.33,0.32
199101,1.27,-0.54
199102,0.79,-0.71
199103,3.16,1.12
199104,3.91,1.31
199105,3.83,0.74
199106,2.07,-1.21
199107,4.34,1.30
199108,2.49,-0.63
199109,2.86,-0.52
199110,5.62,2.92
199111,3.26,0.69
199112,1.90,-0.11
199201,1.54,-0.27
199202,1.41,-0.09
199203,2.00,-0.04
199204,3.07,0.47
199205,1.38,-1.71
199206,2.21,-1.07
199207,5.00,1.96
199208,2.99,-0.13
199209,4.54,1.16
199210,2.47,-0.23
199211,4.47,1.90
199212,2.28,0.27
199301,2.45,0.64
199302,0.79,-0.71
199303,1.06,-0.98
199304,3.84,1.24
199305,2.81,-0.28
199306,4.75,1.47
199307,2.80,-0.24
199308,3.91,0.79
199309,4.16,0.78
199310,2.82,0.12
199311,1.99,-0.58
199312,1.06,-0.95
199401,2.05,0.24
199402,1.22,-0.28
199403,1.45,-0.59
199404,2.96,0.36
199405,1.95,-1.14
199406,4.15,0.87
199407,4.70,1.66
199408,4.80,1.68
